Year,Month,Date,TestbedFrac,A1Frac,A2Frac,A3Frac,A4Frac,A5Frac
2011,1,2011,0.774193548,0,0,0,0,0
2011,2,2011.083333,0.964285714,0,0,0,0,0
2011,3,2011.166667,1,0,0,0,0,0
2011,4,2011.25,1,0,0,0,0,0
2011,5,2011.333333,1,0,0,0,0,0
2011,6,2011.416667,1,0,0,0,0,0
2011,7,2011.5,1,0,0,0,0,0
2011,8,2011.583333,1,0,0,0,0,0
2011,9,2011.666667,1,0,0,0,0,0
2011,10,2011.75,1,0,0,0,0,0
2011,11,2011.833333,1,0,0,0,0,0
2011,12,2011.916667,1,0,0,0,0,0
2012,1,2012,0,0,0,0,0,0
2012,2,2012.083333,0.821428571,0.571428571,0,0,0,0
2012,3,2012.166667,1,0.967741935,0,0,0,0
2012,4,2012.25,1,1,0,0,0,0
2012,5,2012.333333,1,1,0,0,0,0
2012,6,2012.416667,1,1,0,0,0,0
2012,7,2012.5,0.483870968,1,0,0,0,0
2012,8,2012.583333,1,0.903225806,0,0,0,0
2012,9,2012.666667,1,0.766666667,0,0,0,0
2012,10,2012.75,1,0.709677419,0,0,0,0
2012,11,2012.833333,0.666666667,0.9,0,0,0,0
2012,12,2012.916667,0.032258065,0.516129032,0,0,0,0
2013,1,2013,0.838709677,0,0,0,0,0
2013,2,2013.083333,0.5,0,0,0.035714286,0,0
2013,3,2013.166667,0.322580645,0,0.774193548,0.838709677,0,0
2013,4,2013.25,0.6,0,0.633333333,0.7,0,0
2013,5,2013.333333,0.741935484,0,0.483870968,0.419354839,0,0
2013,6,2013.416667,1,0,0.866666667,0.933333333,0,0
2013,7,2013.5,0.677419355,0,0.806451613,0.870967742,0,0
2013,8,2013.583333,0.806451613,0,0.774193548,0.806451613,0,0
2013,9,2013.666667,0.6,0,0.733333333,0.733333333,0,0
2013,10,2013.75,0.064516129,0,0.806451613,1,0,0
2013,11,2013.833333,0,0,1,1,0,0
2013,12,2013.916667,0,0,0.225806452,0.290322581,0,0
2014,1,2014,0,0,0.225806452,0.032258065,0,0
2014,2,2014.083333,0,0.607142857,0.964285714,0.928571429,0,0
2014,3,2014.166667,0,1,1,1,0,0
2014,4,2014.25,0,0.933333333,0.933333333,0.933333333,0,0
2014,5,2014.333333,0,1,1,1,0,0
2014,6,2014.416667,0,0.566666667,0.866666667,0.866666667,0,0
2014,7,2014.5,0,0,0.967741935,0.967741935,0,0
2014,8,2014.583333,0,0,1,1,0,0
2014,9,2014.666667,0,0,1,1,0,0
2014,10,2014.75,0,0,0.967741935,0.935483871,0,0
2014,11,2014.833333,0,0,0.966666667,0.966666667,0,0
2014,12,2014.916667,0,0,0.419354839,0.387096774,0,0
2015,1,2015,0,0,1,1,0,0
2015,2,2015.083333,0,0,1,1,0,0
2015,3,2015.166667,0,0,1,1,0,0
2015,4,2015.25,0,0,1,1,0,0
2015,5,2015.333333,0,0,1,1,0,0
2015,6,2015.416667,0,0,1,1,0,0
2015,7,2015.5,0,0,1,1,0,0
2015,8,2015.583333,0,0,1,0.225806452,0,0
2015,9,2015.666667,0,0,1,0,0,0
2015,10,2015.75,0,0,1,0,0,0
2015,11,2015.833333,0,0,0.366666667,0.066666667,0,0
2015,12,2015.916667,0,0.935483871,0.967741935,0.935483871,0,0
2016,1,2016,0,0.967741935,0.967741935,1,0,0
2016,2,2016.083333,0,1.035714286,1,1,0,0
2016,3,2016.166667,0,0.35483871,0.35483871,0.35483871,0,0
2016,4,2016.25,0,0.633333333,0.6,0.566666667,0,0
2016,5,2016.333333,0,1,1,1,0,0
2016,6,2016.416667,0,0.2,1,1,0,0
2016,7,2016.5,0,0,1,1,0,0
2016,8,2016.583333,0,0,0.741935484,0.774193548,0,0
2016,9,2016.666667,0,0,1,1,0,0
2016,10,2016.75,0,0,1,1,0,0
2016,11,2016.833333,0,0,1,1,0,0
2016,12,2016.916667,0,0.032258065,0.967741935,0.096774194,0,0
2017,1,2017,0,0,0.709677419,0,0,0
2017,2,2017.083333,0,0,1,0,0,0
2017,3,2017.166667,0,0,1,0,0,0
2017,4,2017.25,0,0,1,0,0,0
2017,5,2017.333333,0,0,0.838709677,0,0,0
2017,6,2017.416667,0,0,0,0,0,0
2017,7,2017.5,0,0,0,0,0,0
2017,8,2017.583333,0,0,0,0,0,0
2017,9,2017.666667,0,0,0,0,0,0
2017,10,2017.75,0,0,0,0,0,0
2017,11,2017.833333,0,0,0,0,0,0
2017,12,2017.916667,0,0,0,0,0,0
2018,1,2018,0,0.483870968,0.677419355,0.548387097,0.387096774,0.548387097
2018,2,2018.083333,0,1,1,1,1,1
2018,3,2018.166667,0,1,1,1,1,1
2018,4,2018.25,0,1,1,1,1,1
2018,5,2018.333333,0,1,1,1,1,1
2018,6,2018.416667,0,1,1,1,1,1
2018,7,2018.5,0,1,0.35483871,1,1,0.612903226
2018,8,2018.583333,0,1,0.838709677,1,1,0
2018,9,2018.666667,0,1,1,1,1,0
2018,10,2018.75,0,1,1,1,0.935483871,0
2018,11,2018.833333,0,1,0.966666667,0.866666667,1,0.033333333
2018,12,2018.916667,0,1,0.935483871,0.516129032,1,0.806451613
2019,1,2019,0,0.935483871,0.935483871,0.935483871,0.903225806,0.935483871
2019,2,2019.083333,0,0.964285714,0.964285714,1,1,1
2019,3,2019.166667,0,0.967741935,1,1,1,1
2019,4,2019.25,0,1,1,1,1,1
2019,5,2019.333333,0,0.774193548,0.741935484,0.774193548,0.774193548,0.741935484
2019,6,2019.416667,0,1,0.9,1,1,1
2019,7,2019.5,0,1,1,1,1,1
2019,8,2019.583333,0,1,0.419354839,1,0.967741935,1
2019,9,2019.666667,0,0.533333333,0,0.533333333,0.533333333,0.5
2019,10,2019.75,0,1,0,1,1,0.387096774
2019,11,2019.833333,0,0.933333333,0,0.9,0.933333333,0
2019,12,2019.916667,0,0.580645161,0,0.580645161,0.612903226,0
2020,1,2020,0,0.838709677,0.838709677,0.838709677,0.838709677,0.129032258
2020,2,2020.083333,0,0.965517241,1,1,1,0.275862069
2020,3,2020.166667,0,1,1,1,1,0.774193548
2020,4,2020.25,0,1,1,1,1,1
2020,5,2020.333333,0,1,1,1,1,1
2020,6,2020.416667,0,1,0.666666667,1,1,0.733333333
2020,7,2020.5,0,1,0.838709677,1,1,0.838709677
2020,8,2020.583333,0,1,1,1,1,1
2020,9,2020.666667,0,1,1,1,1,1
2020,10,2020.75,0,1,1,1,1,1
2020,11,2020.833333,0,1,1,1,1,0.666666667
2020,12,2020.916667,0,1,1,1,1,0
2021,1,2021,0,0,0,0,0,0
