SNR,C1,C2,C3,C4,C5
0.5,0,0,0,0,0
1.5,0,0,0,0,0
2.5,0,0,0,0,0
3.5,0,0,0,0,0
4.5,0,0,0,0,0.01
5.5,0.11,0.03,0.09,0.04,0.04
6.5,0.46,0.22,0.46,0.31,0.32
7.5,0.69,0.5,0.67,0.61,0.58
8.5,0.8,0.67,0.82,0.71,0.72
9.5,0.87,0.69,0.91,0.83,0.82
10.5,0.87,0.82,0.89,0.83,0.86
11.5,0.86,0.82,0.86,0.86,0.86
12.5,0.88,0.82,0.83,0.86,0.9
13.5,0.89,0.71,0.88,0.9,0.88
14.5,0.9,0.82,0.9,0.88,0.92
15.5,0.92,0.82,0.93,0.84,0.88
16.5,0.83,0.86,0.9,0.93,0.92
17.5,0.9,0.88,0.88,0.9,0.82
18.5,0.85,0.91,0.96,0.87,0.89
19.5,0.91,0.8,0.86,0.87,0.89
20.5,0.92,0.84,0.87,0.9,0.82
21.5,0.87,0.87,0.94,0.89,0.91
22.5,0.92,0.86,0.88,0.88,0.96
23.5,0.85,0.8,0.87,0.91,0.92
24.5,0.93,0.84,0.92,0.94,0.91
