Year,Month,DIM,Testbed,TestbedFrac,A1,A1Frac,A2,A2Frac,A3,A3Frac,A4,A4Frac,A5,A5Frac
2011,1,31,24,0.774193548387097,0,0,0,0,0,0,0,0,0,0
2011,2,28,27,0.964285714285714,0,0,0,0,0,0,0,0,0,0
2011,3,31,31,1,0,0,0,0,0,0,0,0,0,0
2011,4,30,30,1,0,0,0,0,0,0,0,0,0,0
2011,5,31,31,1,0,0,0,0,0,0,0,0,0,0
2011,6,30,30,1,0,0,0,0,0,0,0,0,0,0
2011,7,31,31,1,0,0,0,0,0,0,0,0,0,0
2011,8,31,31,1,0,0,0,0,0,0,0,0,0,0
2011,9,30,30,1,0,0,0,0,0,0,0,0,0,0
2011,10,31,31,1,0,0,0,0,0,0,0,0,0,0
2011,11,30,30,1,0,0,0,0,0,0,0,0,0,0
2011,12,31,31,1,0,0,0,0,0,0,0,0,0,0
2012,1,31,0,0,0,0,0,0,0,0,0,0,0,0
2012,2,28,23,0.821428571428571,16,0.571428571428571,0,0,0,0,0,0,0,0
2012,3,31,31,1,30,0.967741935483871,0,0,0,0,0,0,0,0
2012,4,30,30,1,30,1,0,0,0,0,0,0,0,0
2012,5,31,31,1,31,1,0,0,0,0,0,0,0,0
2012,6,30,30,1,30,1,0,0,0,0,0,0,0,0
2012,7,31,15,0.483870967741936,31,1,0,0,0,0,0,0,0,0
2012,8,31,31,1,28,0.903225806451613,0,0,0,0,0,0,0,0
2012,9,30,30,1,23,0.766666666666667,0,0,0,0,0,0,0,0
2012,10,31,31,1,22,0.709677419354839,0,0,0,0,0,0,0,0
2012,11,30,20,0.666666666666667,27,0.9,0,0,0,0,0,0,0,0
2012,12,31,1,0.032258064516129,16,0.516129032258065,0,0,0,0,0,0,0,0
2013,1,31,26,0.838709677419355,0,0,0,0,0,0,0,0,0,0
2013,2,28,14,0.5,0,0,0,0,1,0.035714285714286,0,0,0,0
2013,3,31,10,0.32258064516129,0,0,24,0.774193548387097,26,0.838709677419355,0,0,0,0
2013,4,30,18,0.6,0,0,19,0.633333333333333,21,0.7,0,0,0,0
2013,5,31,23,0.741935483870968,0,0,15,0.483870967741936,13,0.419354838709677,0,0,0,0
2013,6,30,30,1,0,0,26,0.866666666666667,28,0.933333333333333,0,0,0,0
2013,7,31,21,0.67741935483871,0,0,25,0.806451612903226,27,0.870967741935484,0,0,0,0
2013,8,31,25,0.806451612903226,0,0,24,0.774193548387097,25,0.806451612903226,0,0,0,0
2013,9,30,18,0.6,0,0,22,0.733333333333333,22,0.733333333333333,0,0,0,0
2013,10,31,2,0.064516129032258,0,0,25,0.806451612903226,31,1,0,0,0,0
2013,11,30,0,0,0,0,30,1,30,1,0,0,0,0
2013,12,31,0,0,0,0,7,0.225806451612903,9,0.290322580645161,0,0,0,0
2014,1,31,0,0,0,0,7,0.225806451612903,1,0.032258064516129,0,0,0,0
2014,2,28,0,0,17,0.607142857142857,27,0.964285714285714,26,0.928571428571429,0,0,0,0
2014,3,31,0,0,31,1,31,1,31,1,0,0,0,0
2014,4,30,0,0,28,0.933333333333333,28,0.933333333333333,28,0.933333333333333,0,0,0,0
2014,5,31,0,0,31,1,31,1,31,1,0,0,0,0
2014,6,30,0,0,17,0.566666666666667,26,0.866666666666667,26,0.866666666666667,0,0,0,0
2014,7,31,0,0,0,0,30,0.967741935483871,30,0.967741935483871,0,0,0,0
