Year,Month,A2Frac,A3Frac
2013,1,0,0
2013,2,0,0.035714286
2013,3,0.774193548,0.838709677
2013,4,0.633333333,0.7
2013,5,0.483870968,0.419354839
2013,6,0.866666667,0.933333333
2013,7,0.806451613,0.870967742
2013,8,0.774193548,0.806451613
2013,9,0.733333333,0.733333333
2013,10,0.806451613,1
2013,11,1,1
2013,12,0.225806452,0.290322581
2014,1,0.225806452,0.032258065
2014,2,0.964285714,0.928571429
2014,3,1,1
2014,4,0.933333333,0.933333333
2014,5,1,1
2014,6,0.866666667,0.866666667
2014,7,0.967741935,0.967741935
2014,8,1,1
2014,9,1,1
2014,10,0.967741935,0.935483871
2014,11,0.966666667,0.966666667
2014,12,0.419354839,0.387096774
2015,1,1,1
2015,2,1,1
2015,3,1,1
2015,4,1,1
2015,5,1,1
2015,6,1,1
2015,7,1,1
2015,8,1,0.225806452
2015,9,1,0
2015,10,1,0
2015,11,0.366666667,0.066666667
2015,12,0.967741935,0.935483871
2016,1,0.967741935,1
2016,2,1,1
2016,3,0.35483871,0.35483871
2016,4,0.6,0.566666667
2016,5,1,1
2016,6,1,1
2016,7,1,1
2016,8,0.741935484,0.774193548
2016,9,1,1
2016,10,1,1
2016,11,1,1
2016,12,0.967741935,0.096774194
2017,1,0,0
