time, volts 
-73.2189 , 2.69936
-73.0283 , 12.6994
-72.6298 , 24.6994
-72.4635 , 17.6994
-72.0449 , -8.30064
-71.8512 , -2.30064
-71.4419 , 14.6994
-71.2468 , 12.6994
-70.8273 , 15.6994
-70.6236 , 12.6994
-70.2351 , -28.3006
-70.0531 , -7.30064
-69.6835 , 15.6994
-69.4242 , 22.6994
-69.0165 , 16.6994
-68.8029 , -4.30064
-68.3674 , -26.3006
-68.1563 , -10.3006
-67.7679 , 14.6994
-67.5768 , 9.69936
-67.207 , 7.69936
-66.9562 , 6.69936
-66.5441 , 9.69936
-66.3126 , 11.6994
-65.8951 , -5.30064
-65.6544 , -5.30064
-65.232 , 14.6994
-64.9981 , 23.6994
-64.5826 , -12.3006
-64.3375 , -31.3006
-63.9158 , -26.3006
-63.7092 , -8.30064
-63.3051 , 9.69936
-63.0501 , 10.6994
-62.6512 , 10.6994
-62.4472 , 14.6994
-62.0492 , 13.6994
-61.7872 , 11.6994
-61.3927 , 6.69936
-61.1658 , -1.30064
-60.7547 , -20.3006
-60.4934 , -13.3006
-60.108 , -21.3006
-59.8207 , -12.3006
-59.3878 , 4.69936
-59.1182 , 7.69936
-58.7172 , -1.30064
-58.4787 , -1.30064
-58.0816 , 14.6994
-57.8351 , 27.6994
-57.3918 , 29.6994
-57.1342 , 14.6994
-56.6826 , -0.300635
-56.4165 , 1.69936
-55.9642 , 1.69936
-55.7336 , 4.69936
-55.3101 , -16.3006
-55.0416 , -20.3006
-54.6279 , -10.3006
-54.3564 , 4.69936
-53.9543 , 13.6994
-53.7585 , 14.6994
-53.3344 , 25.6994
-53.0981 , 21.6994
-52.6822 , -11.3006
-52.3849 , -20.3006
-51.9468 , -15.3006
-51.6521 , 4.69936
-51.2183 , 13.6994
-50.9546 , 12.6994
-50.5796 , 12.6994
-50.3081 , 15.6994
-49.8892 , 14.6994
-49.6209 , 12.6994
-49.2118 , -1.30064
-48.9589 , -3.30064
-48.5415 , -17.3006
-48.3142 , -22.3006
-47.9201 , -21.3006
-47.6617 , 11.6994
-47.2215 , 20.6994
-47 , 19.6994
-46.596 , 7.69936
-46.3478 , 1.69936
-45.957 , 3.69936
-45.6847 , 9.69936
-45.2726 , 4.69936
-45.0344 , 5.69936
-44.6125 , -0.300635
-44.3774 , -3.30064
-43.9996 , -2.30064
-43.7667 , 18.6994
-43.3317 , 21.6994
-43.1126 , 20.6994
-42.6753 , 2.69936
-42.4806 , -32.3006
-42.0685 , -15.3006
-41.8522 , -9.30064
-41.4742 , -9.30064
-41.284 , -3.30064
-40.8539 , 5.69936
-40.6084 , 18.6994
-40.1563 , 7.69936
-39.9676 , 10.6994
-39.5307 , 13.6994
-39.3166 , 7.69936
-38.9233 , -6.30064
-38.7232 , -11.3006
-38.2839 , -12.3006
-38.0743 , -0.300635
-37.6787 , 18.6994
-37.476 , 13.6994
-37.0629 , 0.699365
-36.897 , -6.30064
-36.5473 , -12.3006
-36.3466 , -6.30064
-35.9695 , 18.6994
-35.7359 , 23.6994
-35.3644 , 31.6994
-35.1487 , 10.6994
-34.7274 , -10.3006
-34.5278 , -14.3006
-34.1801 , -14.3006
-33.953 , -5.30064
-33.8306 , -0.300635
-33.6401 , 1.69936
-33.2189 , -5.30064
-33.0283 , -2.30064
-32.6298 , -5.30064
-32.4635 , 6.69936
-32.0449 , 25.6994
-31.8512 , 17.6994
-31.4419 , 8.69936
-31.2468 , -3.30064
-30.8273 , -26.3006
-30.6236 , -16.3006
-30.2351 , -19.3006
-30.0531 , -13.3006
-29.6835 , -0.300635
-29.4242 , 16.6994
-29.0165 , 43.6994
-28.8029 , 33.6994
-28.3674 , 6.69936
-28.1563 , 11.6994
-27.7679 , 3.69936
-27.5768 , 0.699365
-27.207 , 2.69936
-26.9562 , -3.30064
-26.5441 , -23.3006
-26.3126 , -37.3006
-25.8951 , -27.3006
-25.6544 , -15.3006
-25.232 , 19.6994
-24.9981 , 26.6994
-24.5826 , 21.6994
-24.3375 , 17.6994
-23.9158 , -7.30064
-23.7092 , -9.30064
-23.3051 , -1.30064
-23.0501 , 12.6994
-22.6512 , 16.6994
-22.4472 , 9.69936
-22.0492 , -25.3006
-21.7872 , -23.3006
-21.3927 , -22.3006
-21.1658 , -15.3006
-20.7547 , -0.300635
-20.4934 , -0.300635
-20.108 , 7.69936
-19.8207 , 5.69936
-19.3878 , 16.6994
-19.1182 , 15.6994
-18.7172 , 13.6994
-18.4787 , 5.69936
-18.0816 , -2.30064
-17.8351 , -8.30064
-17.3918 , -40.3006
-17.1342 , -41.3006
-16.6826 , -7.30064
-16.4165 , 6.69936
-15.9642 , 9.69936
-15.7336 , 10.6994
-15.3101 , 20.6994
-15.0416 , 15.6994
-14.6279 , 5.69936
-14.3564 , -15.3006
-13.9543 , -30.3006
-13.7585 , -15.3006
-13.3344 , 6.69936
-13.0981 , 1.69936
-12.6822 , -2.30064
-12.3849 , 20.6994
-11.9468 , 35.6994
-11.6521 , -0.300635
-11.2183 , -58.3006
-10.9546 , -26.3006
-10.5796 , 14.6994
-10.3081 , 21.6994
-9.8892 , 17.6994
-9.62086 , 14.6994
-9.21179 , 1.69936
-8.95891 , 8.69936
-8.54145 , 26.6994
-8.31423 , 18.6994
-7.92011 , -18.3006
-7.66168 , -44.3006
-7.22149 , -25.3006
-7.00003 , -3.30064
-6.59601 , 6.69936
-6.34778 , -1.30064
-5.95699 , 6.69936
-5.68471 , 17.6994
-5.27261 , 22.6994
-5.03438 , 17.6994
-4.61248 , 6.69936
-4.37738 , 8.69936
-3.99962 , -8.30064
-3.76675 , -8.30064
-3.33171 , -17.3006
-3.11258 , -15.3006
-2.67532 , -10.3006
-2.48063 , -11.3006
-2.06853 , 14.6994
-1.85222 , 12.6994
-1.47416 , 8.69936
-1.28402 , 8.69936
-0.853938 , 0.699365
-0.608434 , 11.6994
-0.156322 , 5.69936
0.0324026 , 5.69936
0.469259 , -1.30064
0.683443 , -6.30064
1.07665 , 3.69936
1.2768 , 7.69936
1.71608 , 6.69936
1.92571 , 0.699365
2.32135 , -21.3006
2.52402 , -30.3006
2.93713 , -14.3006
3.10302 , -17.3006
3.45269 , -8.30064
3.65344 , -5.30064
4.03048 , 4.69936
4.26407 , 6.69936
4.63555 , 6.69936
4.85125 , 4.69936
5.27255 , 22.6994
5.47219 , 7.69936
5.81994 , 0.699365
6.04695 , -0.300635
6.1694 , -5.30064
6.35988 , 7.69936
6.7811 , 32.6994
6.97171 , 34.6994
7.37024 , 6.69936
7.53645 , -6.30064
7.95506 , -94.3006
8.14882 , -44.3006
8.55807 , -25.3006
8.75324 , -13.3006
9.1727 , -7.30064
9.37639 , 3.69936
9.76486 , 26.6994
9.94692 , 34.6994
10.3165 , 37.6994
10.5758 , 24.6994
10.9835 , -2.30064
11.1971 , -0.300635
11.6326 , -20.3006
11.8437 , -20.3006
12.2321 , -36.3006
12.4232 , -45.3006
12.793 , -25.3006
13.0438 , 7.69936
13.4559 , 37.6994
13.6874 , 51.6994
14.1049 , 48.6994
14.3456 , 19.6994
14.768 , -40.3006
15.0019 , -56.3006
15.4174 , -92.3006
15.6625 , -66.3006
16.0842 , -71.3006
16.2908 , -42.3006
16.6949 , 8.69936
16.9499 , 29.6994
17.3488 , 40.6994
17.5528 , 51.6994
17.9508 , 31.6994
18.2128 , 28.6994
18.6073 , 5.69936
18.8342 , -1.30064
19.2453 , -44.3006
19.5066 , -40.3006
19.892 , -59.3006
20.1793 , -60.3006
20.6122 , -32.3006
20.8818 , -7.30064
21.2828 , 20.6994
21.5213 , 15.6994
21.9184 , 4.69936
22.1649 , 3.69936
22.6082 , 2.69936
22.8658 , -1.30064
23.3174 , 8.69936
23.5835 , 14.6994
24.0358 , 6.69936
24.2664 , 0.699365
24.6899 , -4.30064
24.9584 , -0.300635
25.3721 , 2.69936
25.6436 , 4.69936
26.0457 , -19.3006
26.2415 , -29.3006
26.6656 , -85.3006
26.9019 , -76.3006
27.3178 , -9.30064
27.6151 , 18.6994
28.0532 , 11.6994
28.3479 , 5.69936
28.7817 , 17.6994
29.0454 , 28.6994
29.4204 , 41.6994
29.6919 , 27.6994
30.1108 , 2.69936
30.3791 , -6.30064
30.7882 , -13.3006
31.0411 , -7.30064
31.4585 , -14.3006
31.6858 , -22.3006
32.0799 , -46.3006
32.3383 , -43.3006
32.7785 , -60.3006
33 , -39.3006
33.404 , 12.6994
33.6522 , 32.6994
34.043 , 55.6994
34.3153 , 34.6994
34.7274 , 3.69936
34.9656 , 2.69936
35.3875 , -6.30064
35.6226 , -14.3006
36.0004 , -23.3006
36.2333 , -5.30064
36.6683 , 10.6994
36.8874 , 0.699365
37.3247 , 2.69936
37.5194 , -4.30064
37.9315 , -3.30064
38.1478 , -2.30064
38.5258 , -14.3006
38.716 , -4.30064
39.1461 , -12.3006
39.3916 , -12.3006
39.8437 , -51.3006
40.0324 , -94.3006
40.4693 , -0.300635
40.6834 , 70.6994
41.0767 , 226.699
41.2768 , 262.699
41.7161 , 130.699
41.9257 , -120.301
42.3213 , -507.301
42.524 , -548.301
42.9371 , -216.301
43.103 , -114.301
43.4527 , 333.699
43.6534 , 422.699
44.0305 , 559.699
44.2641 , 637.699
44.6356 , 508.699
44.8513 , 446.699
45.2726 , 37.6994
45.4722 , -322.301
45.8199 , -600.301
46.047 , -656.301
46.1694 , -694.301
46.3599 , -478.301
46.7811 , -78.3006
46.9717 , 25.6994
47.3702 , 496.699
47.5365 , 674.699
47.9551 , 794.699
48.1488 , 715.699
48.5581 , 663.699
48.7532 , 420.699
49.1727 , -196.301
49.3764 , -529.301
49.7649 , -685.301
49.9469 , -652.301
50.3165 , -429.301
50.5758 , -281.301
50.9835 , -23.3006
51.1971 , 30.6994
51.6326 , 68.6994
51.8437 , 84.6994
52.2321 , 50.6994
52.4232 , 50.6994
52.793 , 135.699
